pathway_name,pathway_source,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites
COPI-independent Golgi-to-ER retrograde traffic,Reactome,2,HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,7 (9),0.168,1
Endohydrolysis of 1_4-alpha-D-glucosidic linkages in polysaccharides by alpha-amylase,EHMN,2,HMDB0001262;HMDB0001296,7 (7),0.168,1
O-Glycan biosynthesis,EHMN,2,HMDB0000290;HMDB0000304,7 (17),0.168,1
Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human),KEGG,2,HMDB0006734;HMDB0004842,7 (31),0.168,1
Conjugation of salicylate with glycine,Reactome,2,HMDB0000840;HMDB0000123,7 (8),0.168,1
Scavenging by Class H Receptors,Reactome,2,HMDB0000067;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741,7 (11),0.168,1
Fc gamma R-mediated phagocytosis - Homo sapiens (human),KEGG,2,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0001043,7 (8),0.168,1
pregnenolone biosynthesis,HumanCyc,2,HMDB0000067;HMDB0006763,7 (7),0.168,1
Glucuronidation,Reactome,5,HMDB0001934;HMDB0000290;HMDB0006543;HMDB0000054;HMDB0014813,28 (31),0.174,1
Na+/Cl- dependent neurotransmitter transporters,Reactome,5,HMDB0240251;HMDB0000123;HMDB0000172;HMDB0000687;HMDB0000043,28 (32),0.174,1
Glucose Homeostasis,Wikipathways,4,HMDB0000637;HMDB0000951;HMDB0000172;HMDB0000138,21 (21),0.181,1
Aldosterone synthesis and secretion - Homo sapiens (human),KEGG,4,HMDB0000067;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0001547;HMDB0001043,21 (22),0.181,1
Metabolism of alpha-linolenic acid,Wikipathways,3,HMDB0003073;HMDB0001388;HMDB0001043,14 (17),0.184,1
Triglyceride catabolism,Reactome,3,HMDB0000067;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741,14 (19),0.184,1
Platelet activation - Homo sapiens (human),KEGG,3,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0001043;HMDB0003208,14 (14),0.184,1
Dopamine metabolism,Wikipathways,5,HMDB0004067;HMDB0001229;HMDB0004369;HMDB0033934;HMDB0002281,29 (33),0.194,1
Amino acid transport across the plasma membrane,Reactome,5,HMDB0240251;HMDB0000123;HMDB0000172;HMDB0000687;HMDB0000043,29 (32),0.194,1
leukotriene biosynthesis,HumanCyc,5,HMDB0002995;HMDB0000123;HMDB0001043;HMDB0000687;HMDB0000172,29 (30),0.194,1
sphingosine and sphingosine-1-phosphate metabolism,HumanCyc,6,HMDB0004949;HMDB0000944;HMDB0003073;HMDB0001388;HMDB0001043;HMDB0002183,37 (59),0.199,1
Heroin metabolism,Wikipathways,1,HMDB0041812,2 (3),0.203,1
Complement system,Wikipathways,1,HMDB0000693,2 (5),0.203,1
Osteoblast Signaling,Wikipathways,1,HMDB0000876,2 (3),0.203,1
Prader-Willi and Angelman Syndrome,Wikipathways,1,HMDB0001229,2 (3),0.203,1
Chromosomal and microsatellite instability in colorectal cancer,Wikipathways,1,HMDB0001043,2 (2),0.203,1
Protein-protein interactions at synapses,Reactome,1,HMDB0000123,2 (2),0.203,1
mRNA Editing: C to U Conversion,Reactome,1,HMDB0033934,2 (3),0.203,1
C6 deamination of adenosine,Reactome,1,HMDB0033934,2 (4),0.203,1
mRNA Editing: A to I Conversion,Reactome,1,HMDB0033934,2 (4),0.203,1
mRNA Editing,Reactome,1,HMDB0033934,2 (4),0.203,1
APOBEC3G mediated resistance to HIV-1 infection,Reactome,1,HMDB0033934,2 (4),0.203,1
Regulation of nuclear beta catenin signaling and target gene transcription,PID,1,HMDB0000234,2 (2),0.203,1
TRAIL signaling pathway,PID,1,HMDB0004949,2 (2),0.203,1
Coregulation of Androgen receptor activity,PID,1,HMDB0000234,2 (2),0.203,1
Retinoic acid receptors-mediated signaling,PID,1,HMDB0000876,2 (2),0.203,1
Pathogenic Escherichia coli infection - Homo sapiens (human),KEGG,1,HMDB0008843#HMDB0009152#HMDB0009150#HMDB0009363#HMDB0009557#HMDB0009556#HMDB0009571#HMDB0008976#HMDB0008974,2 (3),0.203,1
inactivation of gsk3 by akt causes accumulation of b-catenin in alveolar macrophages,BioCarta,1,HMDB0004949,2 (2),0.203,1
N-Glycan antennae elongation,Reactome,1,HMDB0000290,2 (6),0.203,1
multi-drug resistance factors,BioCarta,1,HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,2 (2),0.203,1
ras signaling pathway,BioCarta,1,HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,2 (2),0.203,1
regulation of bad phosphorylation,BioCarta,1,HMDB0004949,2 (4),0.203,1
Lipid particle organization,Reactome,1,HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741,2 (3),0.203,1
Leucine Stimulation on Insulin Signaling,SMPDB,1,HMDB0000687,2 (2),0.203,1
Synaptic adhesion-like molecules,Reactome,1,HMDB0000123,2 (2),0.203,1
HIF1A and PPARG regulation of glycolysis,Wikipathways,2,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741,8 (10),0.209,1
Lipid Metabolism Pathway,Wikipathways,2,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741,8 (14),0.209,1
D-Arginine and D-ornithine metabolism - Homo sapiens (human),KEGG,2,HMDB0004225;HMDB0006272,8 (11),0.209,1
Vitamin D (calciferol) metabolism,Reactome,2,HMDB0000876;HMDB0003550,8 (9),0.209,1
Biosynthesis of DPA-derived SPMs,Reactome,2,HMDB0001976;HMDB0006528,8 (34),0.209,1
L-dopachrome biosynthesis,HumanCyc,2,HMDB0001229;HMDB0004067,8 (8),0.209,1
Glycosphingolipid biosynthesis - neolactoseries,EHMN,2,HMDB0000290;HMDB0000304,8 (48),0.209,1
O-linked glycosylation of mucins,Reactome,2,HMDB0000290;HMDB0000304,8 (8),0.209,1
Cargo recognition for clathrin-mediated endocytosis,Reactome,2,HMDB0000067;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741,8 (10),0.209,1
Glycine degradation,Reactome,2,HMDB0000123;HMDB0033934,8 (11),0.209,1
Neomycin_ kanamycin and gentamicin biosynthesis - Homo sapiens (human),KEGG,2,HMDB0000290;HMDB0015129,8 (81),0.209,1
GnRH secretion - Homo sapiens (human),KEGG,2,HMDB0000234;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,8 (9),0.209,1
Long-term depression - Homo sapiens (human),KEGG,2,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0001043,8 (9),0.209,1
C20 prostanoid biosynthesis,HumanCyc,2,HMDB0003208;HMDB0001043,8 (8),0.209,1
Ganglio Sphingolipid Metabolism,Wikipathways,2,HMDB0006734;HMDB0004842,8 (19),0.209,1
Integrated breast cancer pathway,Wikipathways,2,HMDB0001547;HMDB0014813,8 (19),0.209,1
chondroitin sulfate degradation (metazoa),HumanCyc,10,HMDB0035312;HMDB0013112;HMDB0001399;HMDB0012254;HMDB0001178;HMDB0001296;HMDB0003213;HMDB0000290;HMDB0001262;HMDB0003553,70 (131),0.212,1
dermatan sulfate degradation (metazoa),HumanCyc,10,HMDB0035312;HMDB0013112;HMDB0001399;HMDB0012254;HMDB0001178;HMDB0001296;HMDB0003213;HMDB0000290;HMDB0001262;HMDB0003553,70 (131),0.212,1
Sphingolipid signaling pathway - Homo sapiens (human),KEGG,3,HMDB0004949;HMDB0013462#HMDB0012103#HMDB0012092;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,15 (15),0.212,1
Galactose metabolism - Homo sapiens (human),KEGG,5,HMDB0006790;HMDB0003553;HMDB0035312;HMDB0060468;HMDB0003213,30 (46),0.213,1
glutathione redox reactions I,HumanCyc,9,HMDB0001170;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0000032;HMDB0001188;HMDB0004949;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0006482;HMDB0006216;HMDB0006221,62 (100),0.215,1
Free fatty acid receptors,Reactome,4,HMDB0003073;HMDB0001388;HMDB0006528;HMDB0002183,23 (24),0.228,1
Sphingolipid de novo biosynthesis,Reactome,5,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0004949;HMDB0013462#HMDB0012103#HMDB0012092;HMDB0008843#HMDB0009152#HMDB0009150#HMDB0009363#HMDB0009557#HMDB0009556#HMDB0009571#HMDB0008976#HMDB0008974;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,31 (35),0.234,1
Glycerophospholipid biosynthesis,Reactome,7,HMDB0062321;HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0033934;HMDB0008843#HMDB0009152#HMDB0009150#HMDB0009363#HMDB0009557#HMDB0009556#HMDB0009571#HMDB0008976#HMDB0008974;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741,47 (94),0.234,1
Degradation pathway of sphingolipids_ including diseases,Wikipathways,2,HMDB0004949;HMDB0004842,9 (13),0.25,1
Golgi-to-ER retrograde transport,Reactome,2,HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,9 (11),0.25,1
Proteoglycan biosynthesis,EHMN,2,HMDB0000290;HMDB0000304,9 (19),0.25,1
Signaling by FGFR3,Reactome,2,HMDB0000693;HMDB0000304,9 (10),0.25,1
Signaling by FGFR,Reactome,2,HMDB0000693;HMDB0000304,9 (11),0.25,1
Neutrophil extracellular trap formation - Homo sapiens (human),KEGG,2,HMDB0029931;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,9 (13),0.25,1
Parathyroid hormone synthesis_ secretion and action - Homo sapiens (human),KEGG,2,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0003550,9 (10),0.25,1
Lipid and atherosclerosis - Homo sapiens (human),KEGG,2,HMDB0000067;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741,9 (14),0.25,1
Vibrio cholerae infection - Homo sapiens (human),KEGG,2,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0033934,9 (9),0.25,1
Cell surface interactions at the vascular wall,Reactome,2,HMDB0000067;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741,9 (13),0.25,1
Ether lipid metabolism - Homo sapiens (human),KEGG,2,HMDB0011149;HMDB0011148,9 (25),0.25,1
Venlafaxine Metabolism Pathway,SMPDB,2,HMDB0060852;HMDB0013892,9 (10),0.25,1
Lumiracoxib Action Pathway,SMPDB,9,HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0003208;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0002995;HMDB0001043;HMDB0002311;HMDB0002343;HMDB0002265;HMDB0002314,66 (72),0.272,1
Rofecoxib Action Pathway,SMPDB,9,HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0003208;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0002995;HMDB0001043;HMDB0002311;HMDB0002343;HMDB0002265;HMDB0002314,66 (72),0.272,1
Leukotriene C4 Synthesis Deficiency,SMPDB,9,HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0003208;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0002995;HMDB0001043;HMDB0002311;HMDB0002343;HMDB0002265;HMDB0002314,66 (71),0.272,1
Flurbiprofen Action Pathway,SMPDB,9,HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0003208;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0002995;HMDB0001043;HMDB0002311;HMDB0002343;HMDB0002265;HMDB0002314,66 (72),0.272,1
Trisalicylate-choline Action Pathway,SMPDB,9,HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0003208;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0002995;HMDB0001043;HMDB0002311;HMDB0002343;HMDB0002265;HMDB0002314,66 (71),0.272,1
Nepafenac Action Pathway,SMPDB,9,HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0003208;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0002995;HMDB0001043;HMDB0002311;HMDB0002343;HMDB0002265;HMDB0002314,66 (72),0.272,1
Salsalate Action Pathway,SMPDB,9,HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0003208;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0002995;HMDB0001043;HMDB0002311;HMDB0002343;HMDB0002265;HMDB0002314,66 (72),0.272,1
Tiaprofenic Acid Action Pathway,SMPDB,9,HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0003208;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0002995;HMDB0001043;HMDB0002311;HMDB0002343;HMDB0002265;HMDB0002314,66 (72),0.272,1
Salicylate-sodium Action Pathway,SMPDB,9,HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0003208;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0002995;HMDB0001043;HMDB0002311;HMDB0002343;HMDB0002265;HMDB0002314,66 (72),0.272,1
Valdecoxib Action Pathway,SMPDB,9,HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0003208;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0002995;HMDB0001043;HMDB0002311;HMDB0002343;HMDB0002265;HMDB0002314,66 (72),0.272,1
Nabumetone Action Pathway,SMPDB,9,HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0003208;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0002995;HMDB0001043;HMDB0002311;HMDB0002343;HMDB0002265;HMDB0002314,66 (72),0.272,1
Bromfenac Action Pathway,SMPDB,9,HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0003208;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0002995;HMDB0001043;HMDB0002311;HMDB0002343;HMDB0002265;HMDB0002314,66 (72),0.272,1
Arachidonic Acid Metabolism,SMPDB,9,HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0003208;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0002995;HMDB0001043;HMDB0002311;HMDB0002343;HMDB0002265;HMDB0002314,66 (71),0.272,1
GPCR downstream signalling,Reactome,15,HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0005096;HMDB0003208;HMDB0033941;HMDB0003073;HMDB0001388;HMDB0002995;HMDB0006528;HMDB0036836;HMDB0001043;HMDB0004080;HMDB0015464;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0002183,118 (152),0.279,1
Phospholipid metabolism,Reactome,7,HMDB0062321;HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0033934;HMDB0008843#HMDB0009152#HMDB0009150#HMDB0009363#HMDB0009557#HMDB0009556#HMDB0009571#HMDB0008976#HMDB0008974;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741,50 (104),0.286,1
Tenoxicam Action Pathway,SMPDB,9,HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0003208;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0002995;HMDB0001043;HMDB0002311;HMDB0002343;HMDB0002265;HMDB0002314,67 (72),0.288,1
